,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,iso,control,cisapride,173.5,196.9,214.8,269.5,96.0,72.6,54.69999999999999,235.0,385.7,478.2,125.0,257.1,151.8,0.06123609491254011,32.133447178853395,256.145590076647,-87.97763476407798,38.419080287262446,7.794869129166384e-05,0.0004598412919781596,0.00038189260068649577,32.07221108394086,False,False,False,481.39530583666175
1,iso,control,cisapride,171.7,195.1,213.3,268.3,96.60000000000002,73.20000000000002,55.0,214.1,344.1,423.0,107.6,223.4,134.8,0.02347058331944157,17.13300630781803,256.3431169833647,-87.97939784201613,38.4991194845027,7.743722837611722e-05,0.0005150085113204722,0.000437571282944355,17.10953572449859,True,True,False,478.7864854838985
2,iso,control,cisapride,172.9,196.3,214.4,269.1,96.20000000000002,72.80000000000001,54.70000000000002,227.4,372.3,461.0,147.8,291.1,209.2,0.15088062997889015,36.6353027634716,256.2040710992292,-87.97817206384553,38.44877121838813,7.780300783076237e-05,0.0004768654842590212,0.0003990624764282589,36.48442213349271,False,True,False,480.69187078647525
3,iso,control,cisapride,172.7,196.1,214.1,269.0,96.30000000000001,72.9,54.900000000000006,226.9,367.8,453.9,115.7,236.7,172.0,0.02494996811982907,18.32551136199412,256.2357295828974,-87.97860465331483,38.44915082656129,7.767578564733205e-05,0.000480842769422149,0.0004031669837748169,18.300561393874293,False,True,False,480.34125970743554
4,iso,control,cisapride,172.4,195.8,213.9,268.8,96.4,73.0,54.900000000000006,225.1,362.2,445.6,131.9,249.8,188.1,0.07879403362278066,24.736969366695604,256.26947069746114,-87.97902069528583,38.451720814333996,7.754863905072915e-05,0.0004873024583058114,0.00040975381925508224,24.658175333072823,False,True,False,479.9331033511189
5,iso,control,cisapride,172.6,196.0,214.1,268.9,96.29999999999998,72.89999999999998,54.79999999999998,227.9,367.5,452.6,131.6,284.6,155.4,0.032892924940606076,16.246307048520947,256.24531574496,-87.97882561813607,38.44148919982209,7.760606019009445e-05,0.0004801695017255781,0.0004025634415354836,16.213414123580343,False,True,False,480.26167786008966
6,iso,control,cisapride,172.7,196.1,214.1,269.0,96.30000000000001,72.9,54.900000000000006,230.3,370.8,456.4,119.3,237.7,149.7,0.04606272039484466,22.5417165259732,256.2350473460106,-87.9788246917579,38.43082123279217,7.759810672439154e-05,0.00047544486530374006,0.0003978467585793485,22.495653805578357,False,True,False,480.42322471920465
7,iso,control,cisapride,172.1,195.5,213.6,268.6,96.50000000000003,73.10000000000002,55.00000000000003,220.6,355.0,436.8,135.3,280.4,157.4,0.10255684315700968,33.32562900686404,256.2970507531111,-87.97914235337778,38.471564034666464,7.751550252311626e-05,0.0004979603532141546,0.00042044485069103835,33.22307216370703,False,True,False,479.51020775592866
8,iso,control,cisapride,174.4,197.7,215.6,270.0,95.6,72.30000000000001,54.400000000000006,249.4,408.4,505.8,157.7,314.3,179.8,0.184250987343397,40.575472044790665,256.0591099209358,-87.97691971923946,38.36519006374818,7.814512243395585e-05,0.0004330089920843925,0.0003548638696504366,40.39122105744727,False,False,False,482.3562325325738
9,iso,control,cisapride,174.8,198.2,215.9,270.3,95.5,72.10000000000002,54.400000000000006,253.3,417.4,518.0,150.6,312.1,142.0,0.19880166455224305,35.67231663778265,256.0110109231425,-87.97619496309397,38.35182838803275,7.837495775733784e-05,0.00042466562678618037,0.00034629066902884255,35.47351497323041,False,False,False,482.7624722424136
10,iso,control,cisapride,175.5,198.8,216.5,270.7,95.19999999999999,71.89999999999998,54.19999999999999,262.0,433.7,539.0,159.2,318.8,159.4,0.2958775536072359,47.40004518127696,255.93325523085156,-87.9750775878279,38.322848803065376,7.873620638422744e-05,0.00040942684625646823,0.00033069063987224077,47.104167627669725,False,False,False,483.3735803651049
11,iso,control,cisapride,178.6,201.9,219.1,272.5,93.9,70.6,53.400000000000006,295.8,501.2,626.0,158.9,328.7,165.2,0.09490848572308544,31.04095968532369,255.52868542205667,-87.96663506280711,38.21878716563377,8.168909972791294e-05,0.00035816161591819314,0.00027647251619028024,30.946051199600603,False,False,False,485.3111239016471
12,iso,control,cisapride,174.4,197.7,215.6,270.0,95.6,72.30000000000001,54.400000000000006,251.0,409.8,507.0,135.6,273.1,160.6,0.06977703403966626,28.210603547204197,256.0590864981647,-87.97703079051931,38.36008841856905,7.810629855760022e-05,0.0004311589067043422,0.00035305260814674197,28.14082651316453,False,False,False,482.3800294151072
13,iso,control,cisapride,171.6,195.0,213.2,268.3,96.70000000000002,73.30000000000001,55.10000000000002,214.7,343.7,422.0,114.5,233.5,139.3,0.061997080048149564,28.445865606241686,256.34973779806825,-87.97953027844903,38.49272398867852,7.739212630910259e-05,0.0005147501290953448,0.0004373580027862422,28.383868526193535,True,True,False,478.71504008404185
14,iso,control,cisapride,175.1,198.4,216.1,270.4,95.29999999999998,71.99999999999997,54.29999999999998,257.9,424.5,526.6,162.3,327.3,179.3,0.25684269238356705,36.28606616863322,255.98370726836626,-87.9759215428303,38.33702825585002,7.845885691633333e-05,0.00041740143332754396,0.0003389425764112106,36.029223476249655,False,False,False,483.0074330022471
15,iso,control,cisapride,173.1,196.4,214.5,269.2,96.1,72.79999999999998,54.69999999999999,233.1,377.9,466.4,167.9,341.7,182.1,0.5874640898115798,41.76323463511809,256.1957101101272,-87.97834633531961,38.42379502503835,7.773506858713101e-05,0.0004672328717776498,0.0003894978031905188,41.175770545306506,False,True,False,480.8796111401924
16,iso,control,cisapride,171.5,194.9,213.1,268.2,96.69999999999999,73.29999999999998,55.099999999999994,211.4,339.9,417.9,116.3,225.0,150.5,0.0692115592948247,26.519670961155988,256.3595857065434,-87.97946352778982,38.51174664561098,7.741839502642556e-05,0.0005221463738644214,0.00044472797883799586,26.450459401861163,True,True,False,478.5067250621644
17,iso,control,cisapride,177.1,200.4,217.9,271.6,94.50000000000003,71.20000000000002,53.70000000000002,281.1,470.3,585.9,195.7,413.2,182.8,0.5138153404938504,30.590598214766388,255.73908054427102,-87.97156861853816,38.26512293756603,7.993716169236496e-05,0.00037963413243365405,0.0002996969707412891,30.07678287427254,False,False,False,484.506978369026
18,iso,control,cisapride,173.7,197.1,215.0,269.6,95.90000000000003,72.50000000000003,54.60000000000002,240.6,393.1,486.5,131.7,258.7,153.8,0.09104930851522886,32.75095435535196,256.1234054594834,-87.97756282601487,38.39720534380554,7.795857301205667e-05,0.00044991380609950233,0.00037195523308744565,32.65990504683673,False,False,False,481.6885847983226
19,iso,control,cisapride,172.9,196.2,214.3,269.1,96.20000000000002,72.90000000000003,54.80000000000001,230.3,373.0,460.1,159.4,343.8,176.2,0.11256694408845096,24.447775150740952,256.2170221346702,-87.97851973122506,38.43443573897389,7.769070098916133e-05,0.00047354656330394807,0.0003958558623147867,24.335208206652503,False,True,False,480.6088763184751
20,iso,control,cisapride,171.1,194.5,212.8,267.9,96.79999999999998,73.39999999999998,55.099999999999966,206.9,330.6,405.5,141.9,325.0,163.7,0.04743491290465113,14.139679393225336,256.4057150341802,-87.97980927661294,38.52708675325188,7.730883826647457e-05,0.0005372451433300038,0.0004599363050635292,14.092244480320685,True,True,False,477.75257562918273
