,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,iso,gomez,clozapine,209.7,246.8,274.8,351.9,142.2,105.09999999999997,77.09999999999997,472.7,692.2,811.1,187.5,434.7,285.7,0.4687191269003853,8.346948992612317,240.0761139767424,-87.73255317787091,39.92788731954775,0.00010017682578552351,0.00019597393101671262,9.579710523118911e-05,7.878229865711932,False,False,False,69.72379016630451
1,iso,gomez,clozapine,208.0,245.5,274.2,352.8,144.8,107.30000000000001,78.60000000000002,441.8,643.7,764.2,161.7,364.6,265.8,0.10769564308224143,3.15099627676003,240.80096606769084,-87.75990857990605,39.98726256595294,9.605876340500269e-05,0.00020902800040959894,0.00011296923700459626,3.043300633677789,False,False,False,67.62687747756773
2,iso,gomez,clozapine,209.1,246.4,274.6,352.1,143.00000000000003,105.70000000000002,77.5,463.3,678.6,798.6,211.6,453.5,329.5,1.1585557559876007,15.336114006459312,240.30588046447656,-87.74121077533391,39.94255635490465,9.888548184249468e-05,0.00019965754013379075,0.00010077205829129607,14.17755825047171,False,False,False,69.29652005691148
3,iso,gomez,clozapine,209.0,246.3,274.6,352.3,143.3,106.0,77.69999999999999,460.8,673.4,793.4,159.9,348.8,291.9,0.17540386909903888,3.527791965569633,240.41269160852852,-87.7453787677546,39.95564206736956,9.82701961439288e-05,0.0002010261341026645,0.0001027559379587357,3.352388096470594,False,False,False,68.71309615734938
4,iso,gomez,clozapine,208.8,246.2,274.6,352.5,143.7,106.30000000000001,77.89999999999998,457.4,667.0,787.0,190.2,418.5,305.0,0.5367036535601364,9.117295612895923,240.52769125723637,-87.74983654703853,39.97027525277327,9.760680548619807e-05,0.00020269697655103317,0.00010509017106483509,8.580591959335786,False,False,False,68.11610010435408
5,iso,gomez,clozapine,209.0,246.4,274.6,352.3,143.3,105.9,77.69999999999999,461.4,673.2,792.9,192.5,435.4,291.1,0.19071117111208927,3.904222069192587,240.43695343635991,-87.74641424188928,39.963117970895674,9.812346507782205e-05,0.00020103937060022867,0.00010291590552240662,3.713510898080498,False,False,False,68.35870207384458
6,iso,gomez,clozapine,209.2,246.5,274.7,352.3,143.10000000000002,105.80000000000001,77.60000000000002,464.4,677.0,796.5,177.5,411.7,277.6,0.29568041307125775,6.109390474075995,240.3901212748893,-87.74471339807826,39.9633531392547,9.838461352769375e-05,0.00019998755376309129,0.00010160294023539754,5.813710061004737,False,False,False,68.3051948432342
7,iso,gomez,clozapine,208.5,245.9,274.4,352.6,144.10000000000002,106.70000000000002,78.20000000000005,451.2,658.1,778.5,198.5,449.6,285.6,0.9068758183867809,11.599737279957958,240.63540427084163,-87.75380368556893,39.975419198360946,9.699849812878823e-05,0.00020510500305087934,0.00010810650492209112,10.692861461571177,False,False,False,67.99678259741381
8,iso,gomez,clozapine,210.5,247.6,275.2,351.6,141.10000000000002,104.00000000000003,76.40000000000003,488.5,712.4,828.5,230.0,504.9,308.9,2.64554231565126,19.198717622983317,239.7049844929729,-87.71870091503878,39.91482854379413,0.00010222694883277895,0.00019043549332376715,8.820854449098819e-05,16.553175307332058,False,False,False,69.89336386984698
9,iso,gomez,clozapine,210.8,247.7,275.3,351.5,140.7,103.80000000000001,76.19999999999999,492.9,719.0,834.2,224.8,517.3,282.4,2.28202732704472,14.941319345736298,239.5292101185883,-87.7119969786915,39.90133015578311,0.00010319537500558522,0.00018858442659186247,8.538905158627725e-05,12.659292018691579,False,False,False,70.36963775984971
