,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,iso,gomez,domperidone,223.9,266.9,300.8,391.5,167.6,124.60000000000002,90.69999999999999,487.8,703.9,819.6,194.7,439.5,292.8,0.5280607062913509,9.383649281339682,239.50765737702122,-87.71590496463071,40.27376556509057,0.00010236752779126848,0.0002008782737389002,9.851074594763172e-05,8.855588575048332,False,False,False,6.248706006783024
1,iso,gomez,domperidone,222.0,265.5,300.4,393.0,171.0,127.5,92.60000000000002,456.7,656.6,774.4,171.5,375.7,269.6,0.11415399440338528,3.5697253886406783,240.315531242702,-87.74589861636329,40.33373913733299,9.794309716711322e-05,0.00021453950176290035,0.00011659640459578714,3.455571394237293,False,False,False,3.6442738642165082
2,iso,gomez,domperidone,223.3,266.4,300.7,391.9,168.59999999999997,125.5,91.19999999999999,478.4,690.7,807.6,217.7,456.8,338.6,1.3046751887888817,17.047878760654957,239.7630895652594,-87.72536372486148,40.28767777756328,0.00010098540133767068,0.00020471080014927237,0.00010372539881160169,15.743203571866076,False,False,False,5.682141524574895
3,iso,gomez,domperidone,223.2,266.3,300.7,392.1,168.90000000000003,125.80000000000001,91.40000000000003,475.8,685.7,802.7,167.5,353.6,299.6,0.18877903173882615,4.099049273567346,239.88192369329016,-87.72990268966515,40.302610279850086,0.00010032792663576244,0.00020613182106624044,0.000105803894430478,3.9102702418285196,False,False,False,5.0309011347021055
4,iso,gomez,domperidone,223.0,266.2,300.7,392.4,169.39999999999998,126.19999999999999,91.69999999999999,472.4,679.4,796.5,197.7,423.9,313.1,0.5963592566241799,10.13126983535942,240.01001760046503,-87.73477285935724,40.31917019218161,9.961696483326496e-05,0.00020787205837907762,0.00010825509354581266,9.534910578735241,False,False,False,4.355038188591543
5,iso,gomez,domperidone,223.2,266.4,300.7,392.2,169.0,125.80000000000001,91.5,476.4,685.5,802.3,198.4,439.3,298.4,0.2158879400737181,4.424249473736871,239.90882060262976,-87.73101640966819,40.31202280964089,0.00010017257019703583,0.00020613801429872602,0.00010596544410169019,4.208361533663153,False,False,False,4.661789921996608
6,iso,gomez,domperidone,223.4,266.5,300.8,392.2,168.79999999999998,125.69999999999999,91.39999999999998,479.4,689.2,805.7,186.2,418.6,283.7,0.33008386921213917,6.821873444971013,239.85657631448316,-87.7291398527804,40.313461680533,0.00010045430137331787,0.00020503523249760578,0.00010458093112428791,6.491789575758874,False,False,False,4.64093771407493
7,iso,gomez,domperidone,222.6,265.9,300.6,392.6,170.00000000000003,126.70000000000005,92.0,466.2,670.7,788.3,206.2,455.1,291.7,0.9937262773361352,12.749720942738197,240.13034018931572,-87.73915103411771,40.32295371744067,9.895993530822762e-05,0.00021040338470953337,0.00011144344940130574,11.755994665402062,False,False,False,4.1530189049891035
8,iso,gomez,domperidone,224.8,267.6,301.1,391.0,166.2,123.39999999999998,89.89999999999998,503.4,723.4,836.2,236.7,507.2,317.0,2.921146313381744,20.881712281906914,239.09671377280992,-87.70083338809194,40.26452780639208,0.00010455187569048702,0.00019515112889760522,9.05992532071182e-05,17.96056596852517,False,False,False,6.612324691186316
9,iso,gomez,domperidone,225.1,267.8,301.1,390.8,165.70000000000002,123.0,89.69999999999999,507.7,729.7,841.5,232.2,519.8,289.7,2.4940156450789672,16.178516768477184,238.9027526937106,-87.69359736316453,40.250203727178935,0.00010557667631876187,0.00019325681020608036,8.76801338873185e-05,13.684501123398217,False,False,False,7.169118942673194
