,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,gomez,nifedipine,205.0,239.7,265.8,337.9,132.89999999999998,98.2,72.09999999999997,466.6,686.8,807.0,184.5,434.4,284.0,0.4041231070097928,6.660519421960384,240.74823199080657,-87.74894897799953,38.97283142639767,9.7488279206099e-05,0.0001863553062862,8.886702708016354e-05,6.256396314950591,False,False,False,108.42159019684276,low/none
1,1,iso,gomez,nifedipine,203.4,238.4,265.2,338.5,135.1,100.1,73.30000000000001,435.8,637.8,759.4,157.3,359.2,265.9,0.1004910756915396,2.45398552624504,241.4021730077068,-87.77334296696853,39.03082732605842,9.374675494764369e-05,0.0001981609516411,0.0001044141966935,2.3534944505535003,False,False,False,106.67588279747928,low/none
2,2,iso,gomez,nifedipine,204.5,239.3,265.6,338.0,133.5,98.7,72.39999999999998,457.1,672.9,794.3,207.3,451.6,325.3,1.0012463809865562,12.62023446401109,240.95617913099008,-87.75670087641271,38.98822132578783,9.630984233476016e-05,0.000189705413663,9.339557132828471e-05,11.618988083024536,False,False,False,108.0699708703048,low/none
3,3,iso,gomez,nifedipine,204.4,239.2,265.6,338.2,133.79999999999998,99.0,72.59999999999997,454.6,667.7,788.9,155.4,354.1,288.8,0.160266667194158,2.641262608041434,241.05197427739952,-87.76040770642557,38.99890536271008,9.575271859607587e-05,0.0001909654824118,9.521276381575966e-05,2.480995940847276,False,False,False,107.56375480884805,low/none
4,4,iso,gomez,nifedipine,204.2,239.1,265.5,338.3,134.10000000000002,99.20000000000002,72.80000000000001,451.2,661.2,782.4,185.6,416.6,301.2,0.4716663642459157,7.469166279381016,241.1551511945073,-87.76436801477323,39.01107772764765,9.51526305802065e-05,0.0001924957488083,9.734311822817452e-05,6.9974999151351,False,False,False,107.04992434927192,low/none
5,5,iso,gomez,nifedipine,204.4,239.2,265.6,338.3,133.9,99.10000000000002,72.69999999999999,455.2,667.4,788.5,190.4,435.6,289.4,0.163898311569098,3.077523142538188,241.07324523938192,-87.76131705923632,39.00395659023431,9.56219391428428e-05,0.0001909959129783,9.53739738355348e-05,2.91362483096909,False,False,False,107.25043492455002,low/none
6,6,iso,gomez,nifedipine,204.6,239.4,265.7,338.3,133.70000000000002,98.9,72.60000000000002,458.1,671.3,792.0,173.3,410.0,276.2,0.2581408411706577,4.915469515829101,241.03061447823413,-87.75978964995312,39.002669255424536,9.586108751441462e-05,0.0001900529328952,9.419184538088044e-05,4.657328674658444,False,False,False,107.19541459059872,low/none
7,7,iso,gomez,nifedipine,203.9,238.8,265.4,338.4,134.49999999999997,99.59999999999997,73.0,445.1,652.2,773.8,194.8,447.8,284.5,0.8107759347846685,9.651089940645248,241.25266712802048,-87.76790932894532,39.0177716755292,9.459912580922192e-05,0.0001946540381775,0.0001000549123682,8.840314005860579,False,False,False,106.96552487747122,low/none
8,8,iso,gomez,nifedipine,205.8,240.4,266.2,337.7,131.89999999999998,97.29999999999998,71.5,482.5,707.4,825.0,225.6,502.7,306.5,2.3364248393898306,16.407467795272204,240.41033787621052,-87.73645762886677,38.95530605932857,9.937293164872774e-05,0.0001812969701771,8.192403852847004e-05,14.071042955882373,False,False,False,108.54109618577314,low/none
9,9,iso,gomez,nifedipine,206.1,240.5,266.3,337.6,131.50000000000003,97.10000000000002,71.30000000000001,487.0,714.2,830.9,220.9,515.7,281.0,2.0398757709139264,12.827793495734095,240.2509066202556,-87.73041900661389,38.9430249831346,0.0001002618073641,0.0001795766533487,7.931484598455058e-05,10.78791772482017,False,False,False,108.95487677094168,low/none
