,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,iso,control,ondansetron,179.4,204.0,223.2,280.3,100.9,76.30000000000001,57.10000000000002,235.8,387.3,479.8,125.7,258.5,152.0,0.06187740665440575,32.76736572067572,256.1453626949427,-87.9753567045103,38.24218045089139,7.825701342110629e-05,0.0004632173343285121,0.00038496032090740585,32.705488314021316,False,False,False,463.7333903557967
1,iso,control,ondansetron,177.4,202.1,221.5,279.1,101.70000000000002,77.00000000000003,57.60000000000002,214.6,345.6,424.6,107.9,224.5,135.0,0.023711550566921622,17.53586789816857,256.3440632672847,-87.9771727612301,38.32789653461265,7.774308708653708e-05,0.0005189795106914858,0.00044123642360494866,17.512156347601646,True,True,False,461.1925687103324
2,iso,control,ondansetron,178.8,203.5,222.7,280.0,101.19999999999999,76.5,57.30000000000001,228.2,373.8,462.5,149.2,292.8,209.6,0.15250166586087568,37.16555390744611,256.2041007825732,-87.97590934043507,38.2740109772625,7.811054518963389e-05,0.00048041326846185134,0.00040230272327221745,37.013052241585235,False,True,False,463.05032531432323
3,iso,control,ondansetron,178.5,203.2,222.4,279.8,101.30000000000001,76.60000000000002,57.400000000000006,227.5,369.4,455.5,116.5,237.8,172.4,0.025278921083244244,18.757058297272042,256.2361109410858,-87.97634929272381,38.27383209972712,7.798292292073868e-05,0.0004844582971563425,0.0004064753742356038,18.731779376188797,False,True,False,462.7053610513175
4,iso,control,ondansetron,178.2,202.8,222.2,279.6,101.40000000000003,76.80000000000001,57.400000000000034,225.8,363.7,447.2,133.1,251.6,188.4,0.07953092116275332,25.133459912998674,256.27021810084983,-87.97677312170038,38.2761168878092,7.785532500151547e-05,0.0004910043403860287,0.00041314901538451324,25.05392899183592,False,True,False,462.3044438481178
5,iso,control,ondansetron,178.4,203.1,222.4,279.8,101.4,76.70000000000002,57.400000000000006,228.6,369.1,454.2,132.3,285.8,155.6,0.0332904590231721,16.59421685104401,256.2459188209457,-87.97657174037475,38.26505532153659,7.791311942857767e-05,0.000483795894988114,0.0004058827755595363,16.56092639202084,False,True,False,462.6248263591889
6,iso,control,ondansetron,178.6,203.2,222.4,279.8,101.20000000000002,76.60000000000002,57.400000000000006,231.0,372.4,458.0,120.0,239.2,149.9,0.046518576879032505,22.947822675100642,256.235701283731,-87.97656773171549,38.25318586832248,7.790513073575117e-05,0.0004790304342605216,0.00040112530352477043,22.90130409822161,False,True,False,462.780259326409
7,iso,control,ondansetron,177.9,202.6,221.9,279.4,101.49999999999997,76.79999999999998,57.49999999999997,221.2,356.6,438.5,136.2,281.9,157.5,0.10343281975316745,33.84411003765426,256.2978245719993,-87.97690241463064,38.297858964947345,7.782193489866043e-05,0.0005017630812875597,0.00042394114638889927,33.740677217901094,False,True,False,461.89470577001714
8,iso,control,ondansetron,180.3,204.9,223.9,280.9,100.59999999999997,75.99999999999997,56.99999999999997,250.4,410.0,507.4,159.2,316.4,179.9,0.18749334700251968,41.05605987475478,256.0586888622903,-87.97461764957488,38.18329054712216,7.845515473303419e-05,0.00043613403268887534,0.00035767887795584117,40.86856652775226,False,False,False,464.66276054497155
9,iso,control,ondansetron,180.8,205.3,224.3,281.2,100.39999999999998,75.89999999999998,56.89999999999998,254.3,418.9,519.5,151.6,314.1,142.1,0.201943018409524,36.146517057415664,256.0102050242725,-87.97388000929045,38.169750816197315,7.868678407119317e-05,0.00042769294259357456,0.0003490061585223814,35.94457403900614,False,False,False,465.0569613866842
