,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,dyn,control,terfenadine,169.5,192.6,211.3,266.6,97.10000000000002,74.00000000000003,55.30000000000001,182.6,282.1,344.0,153.3,296.8,117.5,0.050607709744349576,2.7442895966841627,256.8922214677658,-87.98159762789204,38.186290649370086,7.664999565095844e-05,0.0006167878797108393,0.0005401378840598809,2.6936818869398134,True,True,False,496.01592081492237
1,dyn,control,terfenadine,169.2,192.3,210.9,266.0,96.80000000000001,73.69999999999999,55.099999999999994,174.9,269.8,328.4,132.5,260.3,109.6,0.021753287992521988,2.2615966210184273,256.941551533017,-87.98163397134822,38.21368495170016,7.67189317940129e-05,0.0006481519280012236,0.0005714329962072108,2.239843333025905,True,True,False,494.9215012083306
2,dyn,control,terfenadine,169.4,192.6,211.3,266.7,97.29999999999998,74.1,55.39999999999998,186.0,283.0,343.5,183.2,352.7,160.7,0.10711182912410437,2.973175544660873,256.9099309919327,-87.98267054377168,38.21262792642513,7.600874895710645e-05,0.0006116721643306915,0.000535663415373585,2.866063715536769,True,True,False,495.50914215402435
3,dyn,control,terfenadine,169.5,192.6,211.3,266.6,97.10000000000002,74.00000000000003,55.30000000000001,186.8,283.0,343.7,137.9,285.9,131.6,0.021949089835912195,2.2363553184873823,256.90151774290734,-87.98184358002004,38.184524777968605,7.658269995261841e-05,0.000607089297947481,0.0005305065979948626,2.21440622865147,True,True,False,495.84532720444565
4,dyn,control,terfenadine,169.3,192.5,211.2,266.5,97.19999999999999,74.0,55.30000000000001,183.0,277.3,335.3,148.8,275.8,145.6,0.06560409805556697,2.6472659714580087,256.930000319262,-87.98200118843721,38.192167253904664,7.653460006010051e-05,0.0006257430959801672,0.0005492084959200667,2.581661873402442,True,True,False,495.00089041983784
5,dyn,control,terfenadine,169.4,192.6,211.2,266.6,97.20000000000002,74.00000000000003,55.400000000000034,183.8,281.4,342.6,165.1,344.6,121.7,0.0277314773711694,2.1783046252271316,256.9127101680167,-87.98223903635522,38.17754950564419,7.634795829502956e-05,0.0006171786281680265,0.000540830669872997,2.150573147855962,True,True,False,495.6855626712206
6,dyn,control,terfenadine,169.4,192.5,211.2,266.4,96.99999999999997,73.89999999999998,55.19999999999999,180.8,276.6,335.4,137.3,260.8,117.7,0.04033226440729512,2.528336934932541,256.9210668665825,-87.98178368119771,38.174086856281924,7.664519843199553e-05,0.0006286550727756147,0.0005520098743436192,2.488004670525246,True,True,False,495.3742191659402
7,dyn,control,terfenadine,169.2,192.3,211.0,266.1,96.90000000000003,73.80000000000001,55.10000000000002,175.4,270.9,329.6,177.3,338.3,126.0,0.08340177575188931,2.935530183592222,256.94971943279376,-87.982117764695,38.21816354024493,7.641139449279128e-05,0.0006504179938291262,0.000574006599336335,2.8521284078403326,True,True,False,494.5879214560048
8,dyn,control,terfenadine,169.6,192.8,211.5,266.9,97.29999999999998,74.09999999999997,55.39999999999998,187.7,287.4,348.7,180.5,328.7,137.7,0.12195321074167534,3.0747541510036513,256.88915686529043,-87.98221231166964,38.16478324102259,7.628311894250618e-05,0.0006047810633478408,0.0005284979444053347,2.952800940261976,True,True,False,496.0343201466954
9,dyn,control,terfenadine,169.6,192.8,211.5,266.8,97.20000000000002,74.0,55.30000000000001,184.7,286.8,349.4,169.0,307.5,111.4,0.11363174108706155,2.9463453101864707,256.8702321886733,-87.98155715204327,38.16852497206003,7.663299820788768e-05,0.0006079593082264518,0.0005313263100185641,2.832713569099409,True,True,False,496.455160888068
